,place_id,name,lat,lng,rating,user_ratings_total,price_level,formatted_address,global_code,compound_code,planning_area,brand,establishment,point_of_interest,store,food,health,restaurant,hospital,lodging,finance,cafe,convenience_store,clothing_store,atm,shopping_mall,grocery_or_supermarket,home_goods_store,school,bakery,beauty_salon,transit_station,place_of_worship,pharmacy,meal_takeaway,furniture_store,tourist_attraction,secondary_school,supermarket,doctor,shoe_store,dentist,jewelry_store,church,bank,primary_school,electronics_store,gym,spa,car_repair,pet_store,bus_station,university,park,general_contractor,subway_station,real_estate_agency,florist,hair_care,department_store,hardware_store,car_dealer,veterinary_care,travel_agency,bicycle_store,book_store,laundry,plumber,meal_delivery,lawyer,parking,mosque,physiotherapist,art_gallery,insurance_agency,bar,museum,storage,movie_theater,moving_company,liquor_store,gas_station,electrician,car_rental,locksmith,car_wash,post_office,embassy,night_club,fire_station,amusement_park,library,hindu_temple,local_government_office,funeral_home,bowling_alley,cemetery,aquarium,roofing_contractor,stadium,painter,courthouse,drugstore,campground,accounting,airport,zoo,casino,synagogue,premise,taxi_stand,police,light_rail_station,city_hall,train_station,natural_feature,subpremise,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
450,ChIJ_3neSJIZ2jER2a5LBjXBu0Y,Bridge Bariatrics,1.3045739,103.835553,0.0,0.0,,Singapore 228510,6PH58R3P+R6,8R3P+R6 Singapore,Orchard,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,CAIRNHILL,NTSZ04,NEWTON,NT,CENTRAL REGION,CR
451,ChIJ_3neSJIZ2jERAHz2HwRLP1s,Bs Ooi Colorectal Surgery Pte Ltd,1.3045739,103.835553,0.0,0.0,,Singapore 228510,6PH58R3P+R6,8R3P+R6 Singapore,Orchard,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,CAIRNHILL,NTSZ04,NEWTON,NT,CENTRAL REGION,CR
452,ChIJ_3neSJIZ2jEREk747m1ywkI,Ascend Medical Pte Ltd,1.3045739,103.835553,0.0,0.0,,Singapore 228510,6PH58R3P+R6,8R3P+R6 Singapore,Orchard,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,CAIRNHILL,NTSZ04,NEWTON,NT,CENTRAL REGION,CR
453,ChIJ_3neSJIZ2jEREowqXcPSYvQ,Chua Tju Siang Pte Ltd,1.3045739,103.835553,0.0,0.0,,Singapore 228510,6PH58R3P+R6,8R3P+R6 Singapore,Orchard,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,CAIRNHILL,NTSZ04,NEWTON,NT,CENTRAL REGION,CR
454,ChIJ_3neSJIZ2jERZWd-XWVgMG4,Dolly Wee Clinic & Surgery For Women,1.3045739,103.835553,0.0,0.0,,Singapore 228510,6PH58R3P+R6,8R3P+R6 Singapore,Orchard,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,CAIRNHILL,NTSZ04,NEWTON,NT,CENTRAL REGION,CR
455,ChIJ_4Qtr3EZ2jEREV_KHf2cEEg,"SNEC Retina Centre, DMC",1.2807292,103.8366871,4.0,2.0,,"17 Third Hospital Ave, #02-00 Diabetes & Metabolism Centre, Singapore 168752",6PH57RJP+7M,7RJP+7M Singapore,Bukit Merah,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,SINGAPORE GENERAL HOSPITAL,BMSZ05,BUKIT MERAH,BM,CENTRAL REGION,CR
456,ChIJ_6R5vQYa2jERNy42vXBvq8M,Body talk clinic,1.322747,103.814417,0.0,0.0,,"501 #04-04 259760., Bukit Timah Rd, Cluny Court, Singapore",6PH58RF7+3Q,8RF7+3Q Singapore,Tanglin,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,TYERSALL,TNSZ04,TANGLIN,TN,CENTRAL REGION,CR
457,ChIJ_76JyUYX2jERaHtGafBzN8A,"Dr Stephen Chew Centre for Kidney Disease & Hypertension, Mt Alvernia Hospital",1.3418961,103.8386475,0.0,0.0,,"Toa Payoh, Singapore",6PH58RRQ+QF,8RRQ+QF Singapore,Toa Payoh,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,TOA PAYOH WEST,TPSZ01,TOA PAYOH,TP,CENTRAL REGION,CR
458,ChIJ_7ooWcc82jERnCLrcetGzuc,Raffles Medical T4,1.338943,103.9838195,2.0,4.0,,"10 Airport Boulevard, #01-01 Passenger Terminal Building 4, Singapore 819662",6PH58XQM+HG,8XQM+HG Singapore,Changi,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,CHANGI AIRPORT,CHSZ03,CHANGI,CH,EAST REGION,ER
459,ChIJ_9WJ0tgZ2jER9fjy8SX-MMg,Parkway Health Singapore (Patient Assistance Centre),1.2929332,103.8429565,0.0,0.0,,"83 Clemenceau Ave, Singapore 239920",6PH57RVV+55,7RVV+55 Singapore,Singapore River,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,ROBERTSON QUAY,SRSZ01,SINGAPORE RIVER,SR,CENTRAL REGION,CR
